键值(key),翻译(msgstr)
IDS_1_MODERNERA_PVE_ATTACK,破碎时空
IDS_1_MODERNERA_PVE_ATTACK_DESCRIPTION,"一场时空扭曲将新地球联盟部队抛入另一个过去，科学派系逆时阵线在那里触发了一道裂隙，扰乱既定的历史进程。

您的任务：占领逆时阵线的基地。您所在世界的存亡岌岌可危！"
IDS_1_MODERNERA_PVE_ATTACK_GOAL,占领逆时阵线的基地。
IDS_1_MODERNERA_PVE_ATTACK_NAME,破碎时空
IDS_1_MODERNERA_PVE_ATTACK_NAME_RESULT_SCREEN,破碎时空
IDS_1_MODERNERA_PVE_ATTACK_RULES_BULLET_1,[Rule Text]
IDS_1_MODERNERA_PVE_ATTACK_RULES_HEADER,[Rule Header]
IDS_1_RAYTOWER,高塔I
IDS_1_SENSORTOWER,我方监控站
IDS_1_SPACESTATION,空间站
IDS_2AIRSHIPS_SCENARIO_HINT,抢在敌方团队之前护送己方飞艇抵达目的地，或击毁所有敌方战舰
IDS_2D_HUB_ABSTRACT_BANNER_DESCRIPTION,参与两支团队之间的战斗。匹配系统将随机选择对手。
IDS_2D_HUB_ABSTRACT_BANNER_TITLE,随机战
IDS_2D_HUB_ABSTRACT_BANNER_TOOLTIP_DESCRIPTION,玩家对战玩家
IDS_2D_HUB_ABSTRACT_BANNER_TOOLTIP_HEADER,随机战
IDS_2D_HUB_ADVENT_CALENDAR_BANNER_DESCRIPTION,每日签到领取奖励，探索农历新年传统！
IDS_2D_HUB_ADVENT_CALENDAR_BANNER_TITLE,节庆日历
IDS_2D_HUB_ADVENT_CALENDAR_MOUSE_INSTRUCTION,前往节庆日历
IDS_2D_HUB_AMOUNT_PROGRESS_BAR_BANNER_STATUS,需要：
IDS_2D_HUB_AMOUNT_TEXT_BANNER_STATUS,可领取：%(_amount)s
IDS_2D_HUB_ANNIVERSARY_REWARD_BANNER_DESCRIPTION,为了庆祝您首场海战的每个周年，只需进行两场战斗，即可领取应得奖励！
IDS_2D_HUB_ANNIVERSARY_REWARD_BANNER_TITLE,荣誉使命奖励
IDS_2D_HUB_ANNIVERSARY_REWARD_MOUSE_INSTRUCTION,前往荣誉使命奖励页面
IDS_2D_HUB_AVAILABLE_TIME_END_BANNER_STATUS,时间到
IDS_2D_HUB_BLACK_FRIDAY_BANNER_DESCRIPTION,前往兵工厂的“黑色星期五”类别，优惠礼包正等着您！查看“黑色星期五中队”分页，您可通过收集黑色星期五战舰，以及集齐成对的战舰（原始版及其黑色版）来获得额外奖励！
IDS_2D_HUB_BLACK_FRIDAY_BANNER_TITLE,黑色星期五
IDS_2D_HUB_BLACK_FRIDAY_MOUSE_INSTRUCTION,前往兵工厂的“黑色星期五”类别
IDS_2D_HUB_CLR_LEADERBOARD_1_BANNER_DESCRIPTION,在同一次版本期间，“缤纷赛船”活动有两个连续登场的排行榜等着您！在第一个排行榜中，单场战斗中获得最高基础经验的前25名玩家将获得珍贵奖励。
IDS_2D_HUB_CLR_LEADERBOARD_1_BANNER_TITLE,缤纷排行榜：前25名
IDS_2D_HUB_CLR_LEADERBOARD_2_BANNER_DESCRIPTION,第二个排行榜中，单场战斗中获得最高基础经验的前50名玩家将获得珍贵奖励！
IDS_2D_HUB_CLR_LEADERBOARD_2_BANNER_TITLE,缤纷排行榜：前50名
IDS_2D_HUB_CLR_LEADERBOARD_MOUSE_INSTRUCTION,前往排行榜界面
IDS_2D_HUB_ESP_LEGENDARY_BANNER_DESCRIPTION,在兵工厂中获取专属补给箱，以完成全新收藏，即可获得一名独特指挥官作为奖励。
IDS_2D_HUB_ESP_LEGENDARY_BANNER_TITLE,圣地亚哥海战
IDS_2D_HUB_ESP_LEGENDARY_MOUSE_INSTRUCTION,前往兵工厂
IDS_2D_HUB_FINISH_TIME_BANNER_STATUS,结束于：%(_timeLeftToFinish)s
IDS_2D_HUB_GERMAN_SHIPS_BANNER_DESCRIPTION,德国VI–X级重型巡洋舰开放抢先体验。阅读文章，了解其独特之处！
IDS_2D_HUB_GERMAN_SHIPS_BANNER_TITLE,全新德国巡洋舰：抢先体验
IDS_2D_HUB_GERMAN_SHIPS_MOUSE_INSTRUCTION,阅读文章
IDS_2D_HUB_GIFT_AVAILABLE_BANNER_STATUS,已可开启
IDS_2D_HUB_GIFT_RECEIVED_BANNER_STATUS,已领取礼物
IDS_2D_HUB_GRAND_VOYAGE_BANNER_DESCRIPTION,每天进行战斗即可获得远航代币，可在年底前用以兑换达布隆或钢铁。千万别错过入手战斗约翰尼号以及参加许多节庆活动的机会！
IDS_2D_HUB_GRAND_VOYAGE_BANNER_TITLE,十周年纪念：盛大远航
IDS_2D_HUB_GRAND_VOYAGE_MOUSE_INSTRUCTION,前往“十周年纪念：盛大远航”页面
IDS_2D_HUB_HOLIDAY_CONVOY_BANNER_DESCRIPTION,通过每日游玩和资源兑换来获取节日船团代币。在活动结束之前，使用代币兑换达布隆和战舰！
IDS_2D_HUB_HOLIDAY_CONVOY_BANNER_TITLE,节日船团
IDS_2D_HUB_HOLIDAY_CONVOY_MOUSE_INSTRUCTION,前往节日船团页面
IDS_2D_HUB_KOTS_BANNER_DESCRIPTION,参与《战舰世界》最重量级的竞赛之一，证明您有称霸海洋的实力！
IDS_2D_HUB_KOTS_BANNER_TITLE,King of the Sea XVIII
IDS_2D_HUB_KOTS_MOUSE_INSTRUCTION,了解更多
IDS_2D_HUB_LEGENARY_BONUSES_BANNER_DESCRIPTION,您的史诗全局经验消耗型经济加成已转换为“兑换代币”。这些代币正等着您用于兑换新加入的传奇消耗型经济加成！在15.8版本开始时，这些代币将自动转换为传奇全局经验加成，请在此之前获取您所选的新加成。
IDS_2D_HUB_LEGENARY_BONUSES_BANNER_TITLE,传奇加成
IDS_2D_HUB_LEGENARY_BONUSES_MOUSE_INSTRUCTION,前往兵工厂
IDS_2D_HUB_LNY_CONTAINERS_BANNER_DESCRIPTION,购买“争夺年兽”联盟补给箱以获取VI–X级战舰，包含主题战舰！
IDS_2D_HUB_LNY_CONTAINERS_BANNER_TITLE,“争夺年兽”补给箱
IDS_2D_HUB_LNY_CONTAINERS_MOUSE_INSTRUCTION,前往兵工厂
IDS_2D_HUB_LNY_GIFT_AVAILABLE_BANNER_STATUS,有奖励
IDS_2D_HUB_LNY_GIFT_BANNER_DESCRIPTION,您的特殊奖励正等着您——挑选一个礼包，内含以今年生肖为灵感打造的全新X级战舰永久涂装！
IDS_2D_HUB_LNY_GIFT_BANNER_TITLE,您的礼物
IDS_2D_HUB_LNY_GIFT_MOUSE_INSTRUCTION,领取您的礼物
IDS_2D_HUB_LNY_GIFT_RECEIVED_BANNER_STATUS,已领取礼物
IDS_2D_HUB_LNY_SALVAGE_BANNER_DESCRIPTION,使用资源兑换VIII–X级战舰，其中包括全新X级潜艇絮库夫号。
IDS_2D_HUB_LNY_SALVAGE_BANNER_TITLE,物资大搜集
IDS_2D_HUB_LNY_SALVAGE_MOUSE_INSTRUCTION,前往兵工厂的“物资大搜集”类别
IDS_2D_HUB_MODERN_ERA_BANNER_DESCRIPTION,在全新行动中指挥配备导弹的战舰！2050年，一个名为逆时阵线的激进组织引发能量暴冲，将新地球联盟抛入另一个过去时空。挺身对抗逆时阵线，阻止其依己意改写历史！
IDS_2D_HUB_MODERN_ERA_BANNER_TITLE,时空裂隙
IDS_2D_HUB_NAVAL_BASE_BANNER_DESCRIPTION,重现您童年的玩具海军基地！完成作战任务以获取资源，建造并升级基地区域，还可探索美国海军的历史。
IDS_2D_HUB_NAVAL_BASE_BANNER_TITLE,自由港
IDS_2D_HUB_NAVAL_BASE_MOUSE_INSTRUCTION,前往“自由港”界面
IDS_2D_HUB_NEW_YEAR_TREE_BANNER_DESCRIPTION,使用指挥官Stig从环球冒险中带回的饰品来装饰圣诞树，为您的港口注入满满节庆氛围！
IDS_2D_HUB_NEW_YEAR_TREE_BANNER_TITLE,圣诞树
IDS_2D_HUB_NEW_YEAR_TREE_DECORATION_RECEIVED_BANNER_STATUS,已获得饰品
IDS_2D_HUB_NEW_YEAR_TREE_MOUSE_INSTRUCTION,前往圣诞树
IDS_2D_HUB_NOT_AVAILABLE_BANNER_STATUS,未开放
IDS_2D_HUB_NY_GIFT_BANNER_DESCRIPTION,您的特殊奖励正等着您——快来选择您的IX级战舰！
IDS_2D_HUB_NY_GIFT_BANNER_TITLE,您的礼物
IDS_2D_HUB_NY_GIFT_MOUSE_INSTRUCTION,领取您的礼物
IDS_2D_HUB_PAM_DD_EA_BANNER_DESCRIPTION,泛美驱逐舰已开放抢先体验！前往兵工厂迎接这些新战舰！
IDS_2D_HUB_PAM_DD_EA_BANNER_TITLE,泛美驱逐舰
IDS_2D_HUB_PAM_DD_EA_MOUSE_INSTRUCTION,前往兵工厂
IDS_2D_HUB_PLAYER_REPORT_BANNER_DESCRIPTION,重温您在《战舰世界》旅程中的精彩时刻——在特殊的周年纪念页面上探索您的玩法风格、最辉煌的战斗，以及更多内容！
IDS_2D_HUB_PLAYER_REPORT_BANNER_TITLE,您的战斗记录
IDS_2D_HUB_PLAYER_REPORT_MOUSE_INSTRUCTION,前往您的战斗记录页面
IDS_2D_HUB_RANDOM_BATTLE_BANNER_DESCRIPTION,参与两支团队之间的战斗。匹配系统将随机选择对手。
IDS_2D_HUB_RANDOM_BATTLE_BANNER_TITLE,随机战
IDS_2D_HUB_REWARD_AVAILABLE_BANNER_STATUS,有奖励
IDS_2D_HUB_SALVAGE_FOR_VICTORY_BANNER_DESCRIPTION,以您的资源兑换全新史诗IX级驱逐舰闪电52号以及其他珍贵奖励！
IDS_2D_HUB_SALVAGE_FOR_VICTORY_BANNER_TITLE,物资大搜集
IDS_2D_HUB_SALVAGE_FOR_VICTORY_MOUSE_INSTRUCTION,前往兵工厂的“物资大搜集”类别
IDS_2D_HUB_SANTA_CONTAINERS_BANNER_DESCRIPTION,这个佳节就用“圣诞礼物”好好犒赏自己吧！
IDS_2D_HUB_SANTA_CONTAINERS_BANNER_TITLE,圣诞礼物
IDS_2D_HUB_SANTA_CONTAINERS_MOUSE_INSTRUCTION,前往兵工厂
IDS_2D_HUB_SELECT_BATTLE_TYPE_WINDOW_QUESTION,选择并返回港口？
IDS_2D_HUB_SERVICE_NOT_AVAILABLE_BANNER_STATUS,未开放
IDS_2D_HUB_SNOWFLAKES_AMOUNT_TEXT_BANNER_STATUS,可领取：%(_amount)s
IDS_2D_HUB_SNOWFLAKES_BANNER_DESCRIPTION,获取基础经验，无需驾驶港口中的战舰进入战斗就能领取节庆奖励。
IDS_2D_HUB_SNOWFLAKES_BANNER_TITLE,节庆奖励
IDS_2D_HUB_SNOWFLAKES_PROGRESS_BAR_TEXT_BANNER_STATUS,需要：
IDS_2D_HUB_START_TIME_BANNER_STATUS,将开放于%(_timeLeftToStart)s
IDS_2D_HUB_TMNT_BANNER_DESCRIPTION,兵工厂推出特殊优惠！别错过以大幅折扣获取忍者龟主题指挥官、高级补给箱、涂装和其他物品的机会！
IDS_2D_HUB_TMNT_BANNER_TITLE,忍者龟
IDS_2D_HUB_TMNT_MOUSE_INSTRUCTION,前往兵工厂
IDS_2D_HUB_WINDOW_HEADER_UPPER,版本导航仪
IDS_2D_HUB_WINDOW_NO_BANNERS_AVAILABLE_STATE,发生错误。请稍后再试。
IDS_2D_HUB_WOWS_CLASSIC_BANNER_DESCRIPTION,重返《战舰世界》的初期时光！参与仅限水面战舰的经典战斗。
IDS_2D_HUB_WOWS_CLASSIC_BANNER_TITLE,怀旧大作战
IDS_2W1,Fuda
IDS_2W2,Fugi
IDS_2W3,Fugo
IDS_2W4,Fugu
IDS_2W5,Fujo
IDS_2W6,Fuju
IDS_2WAGONS_REVERCED,飞艇护卫：替代模式。
IDS_2_AIRBASE,敌方机场
IDS_2_COMPLEX,敌方要塞
IDS_2_MILITARY,敌方陆上设施
IDS_2_MODERNERA_PVE_DEFENCE,裂隙警戒
IDS_2_MODERNERA_PVE_DEFENCE_DESCRIPTION,"经过激战后，新地球联盟的部队成功占领敌方基地，并部分稳定时空裂隙。

您的任务：守住已占领的基地并确保裂隙稳定。守住基地对恢复稳定至关重要！"
IDS_2_MODERNERA_PVE_DEFENCE_GOAL,切勿让逆时阵线占领基地。
IDS_2_MODERNERA_PVE_DEFENCE_NAME,裂隙警戒
IDS_2_MODERNERA_PVE_DEFENCE_NAME_RESULT_SCREEN,裂隙警戒
IDS_2_MODERNERA_PVE_DEFENCE_RULES_BULLET_1,[Rule Text]
IDS_2_MODERNERA_PVE_DEFENCE_RULES_HEADER,[Rule Header]
IDS_2_OFFENCE_EAST,瓦肯反击
IDS_2_OFFENCE_EAST_DESCRIPTION,博格在占领瓦肯战略目标上有所进展。您必须夺回被占领的设施并阻止同化。
IDS_2_OFFENCE_EAST_GOAL,在同化完成之前夺回被博格人占领的关键区域。
IDS_2_OFFENCE_EAST_NAME,瓦肯反击
IDS_2_OFFENCE_NORTH,瓦肯反击
IDS_2_OFFENCE_NORTH_DESCRIPTION,博格在占领瓦肯战略目标上有所进展。您必须夺回被占领的设施并阻止同化。
IDS_2_OFFENCE_NORTH_EAST,瓦肯反击
IDS_2_OFFENCE_NORTH_EAST_DESCRIPTION,博格在占领瓦肯战略目标上有所进展。您必须夺回被占领的设施并阻止同化。
IDS_2_OFFENCE_NORTH_EAST_GOAL,在同化完成之前夺回被博格人占领的关键区域。
IDS_2_OFFENCE_NORTH_EAST_NAME,瓦肯反击
IDS_2_OFFENCE_NORTH_GOAL,在同化完成之前夺回被博格人占领的关键区域。
IDS_2_OFFENCE_NORTH_NAME,瓦肯反击
IDS_2_OFFENCE_NORTH_WEST,瓦肯反击
IDS_2_OFFENCE_NORTH_WEST_DESCRIPTION,博格在占领瓦肯战略目标上有所进展。您必须夺回被占领的设施并阻止同化。
IDS_2_OFFENCE_NORTH_WEST_GOAL,在同化完成之前夺回被博格人占领的关键区域。
IDS_2_OFFENCE_NORTH_WEST_NAME,瓦肯反击
IDS_2_OFFENCE_SOUTH,瓦肯反击
IDS_2_OFFENCE_SOUTH_DESCRIPTION,博格在占领瓦肯战略目标上有所进展。您必须夺回被占领的设施并阻止同化。
IDS_2_OFFENCE_SOUTH_EAST,瓦肯反击
IDS_2_OFFENCE_SOUTH_EAST_DESCRIPTION,博格在占领瓦肯战略目标上有所进展。您必须夺回被占领的设施并阻止同化。
IDS_2_OFFENCE_SOUTH_EAST_GOAL,在同化完成之前夺回被博格人占领的关键区域。
IDS_2_OFFENCE_SOUTH_EAST_NAME,瓦肯反击
IDS_2_OFFENCE_SOUTH_GOAL,在同化完成之前夺回被博格人占领的关键区域。
IDS_2_OFFENCE_SOUTH_NAME,瓦肯反击
IDS_2_OFFENCE_SOUTH_WEST,瓦肯反击
IDS_2_OFFENCE_SOUTH_WEST_DESCRIPTION,博格在占领瓦肯战略目标上有所进展。您必须夺回被占领的设施并阻止同化。
IDS_2_OFFENCE_SOUTH_WEST_GOAL,在同化完成之前夺回被博格人占领的关键区域。
IDS_2_OFFENCE_SOUTH_WEST_NAME,瓦肯反击
IDS_2_OFFENCE_WEST,瓦肯反击
IDS_2_OFFENCE_WEST_DESCRIPTION,博格在占领瓦肯战略目标上有所进展。您必须夺回被占领的设施并阻止同化。
IDS_2_OFFENCE_WEST_GOAL,在同化完成之前夺回被博格人占领的关键区域。
IDS_2_OFFENCE_WEST_NAME,瓦肯反击
IDS_2_RAYTOWER,高塔II
IDS_2_SENSORTOWER,敌方监控站
IDS_3W1,Gaki
IDS_3W2,Gaku
IDS_3W3,Gama
IDS_3W4,Gara
IDS_3W5,Gari
IDS_3W6,Geji
IDS_3_AIRBASE,中立机场
IDS_3_BOSS_FIGHT,女王怒火
IDS_3_BOSS_FIGHT_DESCRIPTION,您毫不动摇的坚韧和保卫瓦肯行星的决绝激怒了博格女王，她是集合体背后的主宰。在盛怒之下，她决定直接采取行动。女王正在派遣它的个体仆从来消灭瓦肯守军。摧毁他们，准备面对博格舰队的王牌——歼灭者号。
IDS_3_BOSS_FIGHT_GOAL,摧毁博格舰队和女王的歼灭者号。
IDS_3_BOSS_FIGHT_NAME,女王怒火
IDS_3_COMPLEX,中立要塞
IDS_3_MILITARY,中立陆上设施
IDS_3_RAYTOWER,高塔III
IDS_3_SENSORTOWER,中立监控站
IDS_4W1,Kaba
IDS_4W2,Kabi
IDS_4W3,Kabu
IDS_4W4,Kado
IDS_5W1,护卫舰 1
IDS_5W2,护卫舰 2
IDS_5W3,护卫舰 3
IDS_5W4,护卫舰 4
IDS_5W5,护卫舰 5
IDS_6W1,Yuushi
IDS_6W2,Senshi
IDS_6W3,Kousotsu
IDS_8W1,Maji
IDS_8W2,Maki
IDS_8W3,Mari
IDS_8W4,Maku
IDS_9W1,Mato
IDS_9W2,Mazu
IDS_9W3,Miba
IDS_9W4,Migi
IDS_AAAURA_DAMAGE_CHANGED,防空持续伤害已提高
IDS_ABSOLUTE_GUNS_LOCK,将火炮锁定在瞄准点
IDS_ABSOLUTE_GUNS_LOCK_PREF_TOOLTIP_DESCRIPTION,将主炮锁定在准星的瞄准点上。
IDS_ABUSE_CONFIRMED_STATUS_CLEAN,惩罚取消前需进行的没有违规的联合作战场数
IDS_ABUSE_CONFIRMED_STATUS_CLEAN_COLON,惩罚取消前需进行的没有违规的联合作战场数：
IDS_ABUSE_PENALTY,因消极行为受到的惩罚
IDS_ABUSE_PENALTY_CREDITS_HINT,因消极行为受到的银币惩罚
IDS_ABUSE_PENALTY_CREW_HINT,因消极行为受到的指挥官经验惩罚
IDS_ABUSE_PENALTY_EXP_HINT,因消极行为受到的经验惩罚
IDS_ABUSE_REASON_AFK,• 战斗中挂机
IDS_ABUSE_REASON_COMPLAINTS,• 受到玩家举报
IDS_ABUSE_REASON_GRIEFER,• 妨碍队友
IDS_ABUSE_REASON_LEAVER,• 提前退出战斗
IDS_ABUSE_REASON_TKILL,• 伤害队友
IDS_ABUSE_REASON_TSHOTS,• 误伤友军
IDS_ABUSE_STATUS_CLEANED,惩罚已取消
IDS_ABUSE_STATUS_CLEANED_HINT,由于遵守游戏规则，您的违规惩罚已取消。
IDS_ABUSE_STATUS_CONFIRMED,因消极行为受到的惩罚
IDS_ABUSE_STATUS_CONFIRMED_PUNISHMENT,暂时无法进入除联合作战、军团战和战斗训练外的所有战斗模式。
IDS_ABUSE_STATUS_NORMAL,惩罚已取消
IDS_ABUSE_STATUS_NORMAL_PUNISHMENT,由于遵守游戏规则，您的违规惩罚已取消。
IDS_ABUSE_STATUS_SUSPECT,因消极行为受到的惩罚
IDS_ABUSE_STATUS_SUSPECT_INFO,"您的用户名以粉红色显示。您已暂时失去获得表现徽章和杰出服役奖的资格。

若再次违规，将受到更严厉的惩处，且除了联合作战、军团战和战斗训练之外，您也将暂时无法参与其他战斗模式。"
IDS_ABUSE_STATUS_SUSPECT_PUNISHMENT,误伤友军惩罚已生效。每次误伤友军战舰将扣除您的生命值。
IDS_ABUSE_STATUS_SUSPECT_PUNISHMENT_INTERACTIVE_MESSAGE,您受到了消极行为警告。如果继续伤害队友，将对您的战舰扣除等量或更高的生命值。
IDS_ABUSE_SUSPECT_STATUS_CLEAN,惩罚取消前需进行的没有违规的战斗场数
IDS_ABUSE_SUSPECT_STATUS_CLEAN_COLON,惩罚取消前需进行的没有违规的战斗场数：
IDS_ACCEPT,接受
IDS_ACCEPT_DIVISION_INVITATION_IN_BATTLE,接受
IDS_ACCEPT_DIVISION_INVITATION_IN_BATTLE_PREF_TOOLTIP_DESCRIPTION,在战斗中接受加入小队的邀请。
IDS_ACCEPT_INVITATION,接受邀请
IDS_ACCESS_LEVEL,权限等级
IDS_ACCESS_LEVELS_INSTRUCTION_0,权限等级受您游戏熟练度的影响。
IDS_ACCESS_LEVELS_INSTRUCTION_1,您参加的战斗场次越多，您的权限等级越高。
IDS_ACCESS_LEVELS_INSTRUCTION_2,每达到一个新的权限等级都将为您解锁更多游戏功能。
IDS_ACCESS_LEVEL_HEADER,权限等级%(_accountLevel)s
IDS_ACCESS_LEVEL_RISES,已解锁新的权限等级
IDS_ACCESS_LEVEL_TOOLTIP_DESCR,在您提高游戏等级的过程中，您可以随着了解游戏进程逐步解锁新功能。
IDS_ACCESS_LEVEL_TOO_LOW_FOR_EVENT,您的权限等级太低无法加入战斗
IDS_ACCESS_LEVEL_TOO_LOW_FOR_PVE,您的权限等级太低无法作为小队指挥官进入该行动模式
IDS_ACCOUNT,当前名称：
IDS_ACCOUNT_ACTIVATION_ERROR_ALL_INCORRECT_CONFIRMATION_CODE,"不正确的确认码。
请检查输入的确认码。"
IDS_ACCOUNT_ACTIVATION_ERROR_ALL_INCORRECT_CONFIRMATION_CODE_REQUEST_DEACTIVATED,"该确认码已被封锁。
请申请的确认码或再次进行注册。"
IDS_ACCOUNT_ACTIVATION_ERROR_ALL_INVALID_FORM,"不正确的确认码。
请检查输入的确认码。"
IDS_ACCOUNT_ACTIVATION_ERROR_ALL_NO_ACTIVE_REQUEST,"该确认码已被封锁。
请申请的确认码或再次进行注册。"
IDS_ACCOUNT_ACTIVATION_ERROR_CODE_MAX_LENGTH,"确认码太长。
请检查输入的确认码。"
IDS_ACCOUNT_ACTIVATION_ERROR_CODE_MAY_NOT_BE_BLANK,"确认码尚未输入。
请输入确认码。"
